gid	HCT116_ctrl1	HCT116_ctrl2	HCT116_ctrl3	HCT116_curcumin1	HCT116_curcumin2	HCT116_curcumin3
ENSG00000143156	455	526	670	241	273	491
ENSG00000198771	2	0	0	0	0	0
ENSG00000225462	0	0	2	0	0	0
ENSG00000237756	0	0	0	3	0	0
ENSG00000271187	0	0	0	0	0	0
ENSG00000231175	0	0	0	0	0	0
ENSG00000143185	0	2	0	0	0	0
ENSG00000272931	6	2	0	0	0	0
ENSG00000143190	1626	1421	1154	228	167	152
ENSG00000225475	2	0	0	2	0	0
ENSG00000232223	0	0	0	0	0	0
ENSG00000224468	7	11	13	2	0	1
ENSG00000232551	0	0	0	0	0	0
ENSG00000238270	0	0	0	0	0	0
ENSG00000236025	0	0	0	0	0	0
ENSG00000230704	0	0	0	0	0	0
ENSG00000143171	0	0	0	6	24	0
ENSG00000275767	0	0	0	0	0	0
ENSG00000047410	5033	4703	4302	1292	1556	1899
ENSG00000171806	127	90	243	66	22	44
ENSG00000134216	0	0	0	5	4	12
ENSG00000230748	0	0	0	0	0	0
ENSG00000238108	0	0	0	0	0	0
ENSG00000135842	2097	684	1232	238	330	278
ENSG00000287472	0	0	0	0	0	0
ENSG00000241318	0	0	0	0	0	0
ENSG00000228238	0	0	0	0	4	10
ENSG00000232393	0	0	2	0	0	0
ENSG00000184155	0	0	0	0	0	0
ENSG00000058085	3197	1581	2722	2612	1788	1837
ENSG00000232917	0	0	0	2	4	2
ENSG00000233057	2	2	0	0	4	2
ENSG00000143167	0	2	0	10	1	8
ENSG00000143184	0	0	0	4	1	0
ENSG00000224691	0	0	0	0	0	0
ENSG00000233626	5	2	0	0	0	0
ENSG00000143228	546	901	631	240	334	384
ENSG00000231714	0	0	0	0	0	0
ENSG00000116833	72	108	82	33	10	31
ENSG00000000457	435	322	376	258	189	250
ENSG00000285638	0	0	0	0	0	0
ENSG00000230987	0	0	0	0	0	0
ENSG00000228167	0	0	0	0	0	0
ENSG00000150732	0	0	0	0	0	0
ENSG00000157064	10	0	10	18	8	4
ENSG00000288139	0	0	0	0	0	0
ENSG00000059588	651	361	681	239	185	390
ENSG00000162782	30	22	28	10	4	0
ENSG00000238051	0	0	0	0	0	0
ENSG00000233196	0	0	0	0	0	0
ENSG00000229220	0	0	0	0	0	0
ENSG00000227747	0	0	0	4	0	0
ENSG00000228081	0	0	0	0	0	0
ENSG00000228020	0	0	0	0	0	0
ENSG00000234975	16	26	22	58	30	26
ENSG00000162851	733	845	788	248	160	197
ENSG00000271427	0	0	2	0	0	0
ENSG00000143353	485	461	561	188	268	492
ENSG00000197965	5082	5346	4976	1486	1710	2036
ENSG00000143493	1633	1614	1666	599	548	603
ENSG00000230777	0	0	0	3	0	0
ENSG00000179397	9	13	8	0	2	0
ENSG00000224540	0	0	0	0	0	0
ENSG00000186197	4	0	12	12	12	0
ENSG00000229067	0	0	0	0	0	0
ENSG00000261182	0	0	0	0	0	0
ENSG00000162670	2	2	0	0	0	0
ENSG00000225712	0	0	0	0	0	0
ENSG00000162761	0	0	0	0	0	4
ENSG00000143199	6	5	7	79	42	60
ENSG00000007908	0	0	0	58	22	14
ENSG00000092978	522	584	583	291	162	175
ENSG00000188404	192	160	266	176	154	198
ENSG00000274702	0	0	0	0	0	0
ENSG00000226211	0	0	0	0	0	0
ENSG00000203697	14	14	21	10	0	6
ENSG00000116574	256	136	234	98	94	68
ENSG00000143248	153	113	119	74	78	122
ENSG00000162814	27	8	26	3	22	18
ENSG00000225172	0	0	0	0	0	0
ENSG00000261642	0	0	0	0	0	0
ENSG00000228239	0	0	0	0	0	0
ENSG00000237283	0	0	0	0	0	0
ENSG00000116132	2	0	14	0	0	0
ENSG00000229242	0	0	0	0	0	0
ENSG00000234984	0	0	0	0	0	0
ENSG00000229983	0	2	0	14	16	27
ENSG00000225122	0	0	0	0	0	0
ENSG00000225920	16	2	2	0	0	0
ENSG00000143476	1684	2344	1898	613	614	724
ENSG00000057252	2084	2206	2175	1020	974	1040
ENSG00000285718	0	0	0	0	0	0
ENSG00000233018	0	0	0	8	0	0
ENSG00000224783	0	0	0	0	0	0
ENSG00000162852	946	860	989	290	257	256
ENSG00000268062	0	0	2	0	0	2
ENSG00000116962	0	0	1	4	8	0
ENSG00000229757	0	0	0	0	0	0
ENSG00000220749	10	6	4	23	10	30
ENSG00000181450	400	409	316	173	73	116
ENSG00000225300	0	0	0	0	0	0
ENSG00000223842	2	2	4	0	0	0
ENSG00000143355	0	18	16	18	8	6
ENSG00000237193	0	0	0	0	0	0
ENSG00000223490	0	0	0	0	0	1
ENSG00000174502	0	4	0	0	0	2
ENSG00000143195	264	360	226	133	131	82
ENSG00000162849	183	85	140	31	31	28
ENSG00000232824	0	0	0	0	0	0
ENSG00000067533	649	850	856	200	172	272
ENSG00000228955	2	0	2	0	1	0
ENSG00000224702	0	0	0	0	0	0
ENSG00000271811	1	0	11	0	0	0
ENSG00000224278	0	0	0	0	0	0
ENSG00000226486	0	0	0	0	0	0
ENSG00000227687	0	0	0	0	0	0
ENSG00000231814	0	0	0	0	0	0
ENSG00000277007	12	2	3	0	0	0
ENSG00000229016	0	0	0	0	0	0
ENSG00000152104	2521	2204	2078	947	543	630
ENSG00000117650	745	1515	1100	414	540	607
ENSG00000203724	92	76	90	175	144	196
ENSG00000225006	0	0	0	0	0	0
ENSG00000223375	0	0	0	0	0	0
ENSG00000230714	0	0	0	0	0	0
ENSG00000173726	8932	7787	11778	6749	7173	6903
ENSG00000282852	0	0	0	0	0	0
ENSG00000152382	541	657	726	244	127	79
ENSG00000232100	0	0	0	0	0	0
ENSG00000230547	8	0	2	0	0	0
ENSG00000232215	0	0	0	0	0	0
ENSG00000135829	9344	13509	10551	7702	6348	6837
ENSG00000134717	2935	2145	3367	793	1029	1036
ENSG00000278180	0	0	0	0	0	0
ENSG00000232341	0	0	0	0	0	0
ENSG00000287676	2	0	4	0	0	9
ENSG00000236792	2	2	0	0	0	0
ENSG00000143207	1513	1525	1649	612	704	670
ENSG00000270859	0	0	0	0	0	0
ENSG00000238224	1	0	0	0	0	0
ENSG00000237492	0	0	0	0	0	0
ENSG00000150681	0	0	0	0	0	0
ENSG00000116906	2469	3511	3225	1805	2299	2526
ENSG00000092969	81	32	56	16	18	22
ENSG00000157181	586	627	714	323	390	376
ENSG00000250762	0	12	4	5	0	4
ENSG00000076258	87	46	55	12	42	20
ENSG00000117697	780	1243	1127	371	335	653
ENSG00000235083	0	0	0	0	0	0
ENSG00000162669	25	14	16	4	0	18
ENSG00000225904	0	0	0	0	0	0
ENSG00000143641	3775	3958	3833	1866	1371	1655
ENSG00000010932	6	3	11	2	0	3
ENSG00000010072	500	696	540	348	218	210
ENSG00000135766	1307	1434	1314	776	594	548
ENSG00000238054	0	0	0	0	0	0
ENSG00000168243	804	441	762	799	664	707
ENSG00000281453	0	0	0	0	0	0
ENSG00000237469	0	0	0	0	0	0
ENSG00000227613	0	0	0	0	0	0
ENSG00000116183	12	4	4	4	16	10
ENSG00000231612	0	0	0	0	0	0
ENSG00000271036	0	0	0	0	0	0
ENSG00000226868	0	0	0	0	0	2
ENSG00000279401	0	0	0	0	0	0
ENSG00000287450	0	0	0	0	0	0
ENSG00000237011	0	0	0	0	0	0
ENSG00000066027	3190	2921	3408	1411	1259	1411
ENSG00000173728	2	6	0	2	0	0
ENSG00000225811	0	0	0	0	0	0
ENSG00000273093	0	0	0	0	0	4
ENSG00000185523	0	0	0	0	0	0
ENSG00000116711	441	428	526	161	162	180
ENSG00000226750	0	0	0	0	0	0
ENSG00000285665	0	2	13	0	0	6
ENSG00000231022	0	0	0	0	0	0
ENSG00000224436	0	0	0	0	0	0
ENSG00000234915	1	0	0	8	0	0
ENSG00000227585	0	0	0	0	0	0
ENSG00000157060	0	0	0	0	0	2
ENSG00000237213	0	0	0	0	0	0
ENSG00000213045	0	0	0	3	0	0
ENSG00000230063	2	0	0	0	0	0
ENSG00000235467	0	0	0	0	0	0
ENSG00000123684	4188	3919	3796	1174	916	1049
ENSG00000225338	0	0	0	0	2	0
ENSG00000224407	0	0	0	0	0	0
ENSG00000232463	0	0	0	0	0	0
ENSG00000225171	13	2	5	0	0	0
ENSG00000235386	0	1	1	1	0	1
ENSG00000213690	0	0	0	0	0	0
ENSG00000229832	3	6	2	0	0	0
ENSG00000237514	0	0	0	0	0	0
ENSG00000287856	0	0	0	0	0	0
ENSG00000203705	435	448	503	178	222	198
ENSG00000224040	0	0	0	0	2	0
ENSG00000228686	8	12	1	0	0	0
ENSG00000174175	0	0	0	0	16	4
ENSG00000236401	0	0	0	0	0	0
ENSG00000215800	0	0	0	0	0	0
ENSG00000270936	0	0	0	0	0	0
ENSG00000008118	22	10	0	20	6	25
ENSG00000171161	2122	2201	2181	230	173	407
ENSG00000241505	0	0	0	0	0	0
ENSG00000261453	0	0	0	0	0	0
ENSG00000231020	0	0	0	0	0	0
ENSG00000270818	0	0	0	0	0	0
ENSG00000196878	3422	2072	3189	2450	1957	1984
ENSG00000225561	0	0	0	0	0	0
ENSG00000074964	1408	1094	1504	114	170	264
ENSG00000223847	0	0	0	0	0	0
ENSG00000277704	0	0	0	0	0	0
ENSG00000240963	0	0	0	1	0	0
ENSG00000226570	0	0	0	0	0	0
ENSG00000198929	451	286	264	174	152	134
ENSG00000174606	1119	1022	1013	292	282	256
ENSG00000236905	0	0	0	5	0	0
ENSG00000227887	0	0	0	0	0	0
ENSG00000116903	869	907	970	323	88	106
ENSG00000226196	0	0	0	0	0	0
ENSG00000287354	0	0	0	0	0	0
ENSG00000233827	0	0	0	0	0	0
ENSG00000198797	0	0	0	0	0	0
ENSG00000151414	1640	1382	2019	685	613	722
ENSG00000177614	10	14	32	22	12	2
ENSG00000235182	0	0	0	0	0	0
ENSG00000287157	0	0	6	0	0	0
ENSG00000225755	0	1	0	0	0	0
ENSG00000197472	22	60	38	42	46	1
ENSG00000230184	10	5	0	0	0	0
ENSG00000232436	0	0	0	0	0	0
ENSG00000136643	989	1019	1065	220	274	346
ENSG00000236317	0	4	0	10	0	0
ENSG00000176855	0	2	0	4	0	4
ENSG00000225401	12	4	0	0	0	0
ENSG00000228190	0	0	0	0	0	0
ENSG00000135747	15	11	13	3	20	4
ENSG00000069248	2244	2846	2736	704	847	1054
ENSG00000253148	0	0	0	0	0	0
ENSG00000227751	0	0	0	0	0	0
ENSG00000090104	0	0	0	0	0	0
ENSG00000236468	0	0	0	0	0	0
ENSG00000185220	314	232	268	170	111	117
ENSG00000236101	0	0	0	0	0	0
ENSG00000162769	1067	1323	1226	417	376	418
ENSG00000278684	0	0	0	0	0	0
ENSG00000236775	0	0	0	0	0	2
ENSG00000042781	14	3	2	12	1	2
ENSG00000228646	0	0	0	0	0	0
ENSG00000233332	0	4	0	0	4	0
